X,reg,popu,gen,rack,nutrient,amd,status,total.fruits,id
1,NL,3.NL,4,2,1,clipped,Transplant,0,0
2,NL,3.NL,4,1,1,clipped,Petri.Plate,0,0
3,NL,3.NL,4,1,1,clipped,Normal,0,0
4,NL,3.NL,4,2,1,clipped,Normal,0,0
5,NL,3.NL,4,2,8,clipped,Transplant,0,0
6,NL,3.NL,4,2,1,unclipped,Petri.Plate,0,0
7,NL,3.NL,4,2,1,clipped,Normal,0,0
8,NL,3.NL,4,1,1,clipped,Normal,3,0
9,NL,3.NL,4,2,8,unclipped,Normal,2,0
10,NL,3.NL,5,1,1,clipped,Petri.Plate,0,1
11,NL,3.NL,5,2,1,clipped,Transplant,0,1
12,NL,3.NL,5,2,8,unclipped,Transplant,0,1
13,NL,3.NL,5,2,8,clipped,Normal,1,1
14,NL,3.NL,5,1,1,unclipped,Petri.Plate,15,1
15,NL,3.NL,5,1,8,clipped,Normal,33,1
16,NL,3.NL,6,1,1,clipped,Petri.Plate,0,2
17,NL,3.NL,6,1,1,clipped,Normal,0,2
18,NL,3.NL,6,2,1,clipped,Normal,0,2
19,NL,3.NL,6,2,1,unclipped,Petri.Plate,7,2
20,NL,3.NL,6,2,8,clipped,Normal,8,2
21,NL,5.NL,11,2,1,clipped,Petri.Plate,0,3
22,NL,5.NL,11,1,1,clipped,Petri.Plate,0,3
23,NL,5.NL,11,2,1,unclipped,Transplant,0,3
24,NL,5.NL,11,2,1,clipped,Normal,0,3
25,NL,5.NL,11,1,8,unclipped,Transplant,50,3
26,NL,5.NL,12,2,1,unclipped,Transplant,0,4
27,NL,5.NL,12,1,1,unclipped,Petri.Plate,1,4
28,NL,5.NL,12,1,8,clipped,Normal,85,4
29,NL,5.NL,12,2,8,unclipped,Normal,8,4
30,NL,5.NL,12,1,1,clipped,Petri.Plate,8,4
31,NL,5.NL,12,1,8,unclipped,Normal,79,4
32,NL,5.NL,12,1,8,clipped,Normal,94,4
33,NL,5.NL,12,2,8,unclipped,Normal,26,4
34,NL,5.NL,12,1,1,unclipped,Petri.Plate,41,4
35,NL,5.NL,12,1,8,clipped,Petri.Plate,104,4
36,NL,5.NL,12,1,8,unclipped,Normal,41,4
37,SP,1.SP,13,2,8,unclipped,Normal,129,5
38,SP,1.SP,13,1,1,clipped,Normal,14,5
39,SP,1.SP,13,1,1,clipped,Transplant,89,5
40,SP,1.SP,14,2,1,clipped,Normal,0,6
41,SP,1.SP,14,2,1,unclipped,Transplant,8,6
42,SP,1.SP,14,2,8,clipped,Normal,12,6
43,SP,1.SP,14,2,1,unclipped,Normal,17,6
44,SP,1.SP,14,2,8,clipped,Transplant,50,6
45,SP,1.SP,14,2,8,unclipped,Normal,109,6
46,SP,1.SP,15,1,1,clipped,Transplant,0,7
47,SP,1.SP,15,2,1,unclipped,Petri.Plate,0,7
48,SP,1.SP,15,2,1,clipped,Normal,8,7
49,SP,1.SP,15,1,8,unclipped,Petri.Plate,61,7
50,SP,1.SP,15,1,1,unclipped,Petri.Plate,1,7
51,SP,1.SP,15,2,8,unclipped,Normal,63,7
52,SP,1.SP,15,1,8,unclipped,Normal,136,7
53,SP,1.SP,15,2,8,unclipped,Transplant,30,7
54,SP,1.SP,15,1,8,unclipped,Normal,140,7
55,SP,1.SP,15,1,1,unclipped,Normal,129,7
56,SP,1.SP,15,1,8,unclipped,Transplant,148,7
57,SP,5.SP,16,2,8,clipped,Normal,0,8
58,SP,5.SP,16,2,1,clipped,Normal,0,8
59,SP,5.SP,16,1,1,clipped,Petri.Plate,1,8
60,SP,5.SP,16,2,1,clipped,Normal,9,8
61,SP,5.SP,16,1,8,unclipped,Normal,57,8
62,SP,5.SP,16,2,1,unclipped,Transplant,9,8
63,SP,5.SP,16,1,8,clipped,Petri.Plate,63,8
64,SP,5.SP,16,1,1,clipped,Transplant,12,8
65,SP,5.SP,17,1,1,unclipped,Petri.Plate,4,9
66,SP,5.SP,17,1,1,clipped,Normal,2,9
67,SP,5.SP,17,1,1,clipped,Normal,46,9
68,SP,5.SP,17,1,8,clipped,Normal,37,9
69,SP,5.SP,18,2,8,clipped,Transplant,12,10
70,SP,6.SP,20,2,8,clipped,Transplant,0,12
71,SP,6.SP,20,2,8,clipped,Petri.Plate,0,12
72,SP,6.SP,20,1,1,clipped,Normal,80,12
73,SP,8.SP,22,1,8,clipped,Petri.Plate,8,14
74,SP,8.SP,22,2,8,unclipped,Normal,17,14
75,SP,8.SP,23,2,1,clipped,Transplant,0,15
76,SP,8.SP,23,1,1,clipped,Petri.Plate,2,15
77,SP,8.SP,23,1,1,unclipped,Normal,5,15
78,SP,8.SP,24,2,1,clipped,Normal,0,16
79,SP,8.SP,24,1,8,clipped,Transplant,115,16
80,SP,8.SP,24,1,8,clipped,Normal,117,16
81,SP,8.SP,24,1,8,unclipped,Transplant,4,16
82,SP,8.SP,24,2,8,clipped,Normal,21,16
83,SP,8.SP,24,2,8,unclipped,Petri.Plate,61,16
84,SP,8.SP,24,1,8,unclipped,Transplant,7,16
85,SW,1.SW,25,1,1,clipped,Normal,0,17
86,SW,1.SW,25,2,1,unclipped,Petri.Plate,0,17
87,SW,1.SW,25,1,8,clipped,Petri.Plate,1,17
88,SW,1.SW,25,1,8,clipped,Normal,230,17
89,SW,1.SW,25,2,8,clipped,Normal,5,17
90,SW,1.SW,27,2,8,clipped,Petri.Plate,0,18
91,SW,1.SW,27,1,1,clipped,Normal,0,18
92,SW,1.SW,27,1,1,unclipped,Normal,0,18
93,SW,1.SW,27,1,1,unclipped,Petri.Plate,0,18
94,SW,1.SW,27,2,1,clipped,Transplant,0,18
95,SW,1.SW,27,2,1,unclipped,Normal,0,18
96,SW,1.SW,27,2,1,clipped,Normal,0,18
97,SW,2.SW,28,1,1,clipped,Transplant,0,19
98,SW,2.SW,28,2,1,unclipped,Normal,0,19
99,SW,2.SW,28,1,8,clipped,Normal,60,19
100,SW,2.SW,28,1,1,unclipped,Transplant,9,19
101,SW,2.SW,30,1,1,clipped,Normal,0,20
102,SW,2.SW,30,1,1,unclipped,Petri.Plate,0,20
103,SW,2.SW,30,1,8,clipped,Petri.Plate,0,20
104,SW,2.SW,30,2,1,clipped,Petri.Plate,0,20
105,SW,2.SW,30,1,1,clipped,Normal,6,20
106,SW,2.SW,30,2,1,clipped,Normal,5,20
107,SW,2.SW,30,2,1,unclipped,Normal,15,20
108,SW,7.SW,34,1,1,unclipped,Normal,0,21
109,SW,7.SW,34,2,8,clipped,Transplant,0,21
110,SW,7.SW,34,1,1,clipped,Transplant,0,21
111,SW,7.SW,34,2,8,clipped,Transplant,0,21
112,SW,7.SW,34,2,1,clipped,Transplant,0,21
113,SW,7.SW,34,2,1,unclipped,Transplant,0,21
114,SW,7.SW,34,2,1,clipped,Normal,0,21
115,SW,7.SW,34,2,1,unclipped,Normal,0,21
116,SW,7.SW,34,2,8,clipped,Normal,0,21
117,SW,7.SW,34,2,1,unclipped,Normal,0,21
118,SW,7.SW,34,2,1,clipped,Normal,0,21
119,SW,7.SW,34,1,8,unclipped,Transplant,0,21
120,SW,7.SW,34,1,1,unclipped,Normal,0,21
121,SW,7.SW,34,1,1,unclipped,Transplant,0,21
122,SW,7.SW,34,1,8,clipped,Transplant,0,21
123,SW,7.SW,34,1,8,unclipped,Transplant,0,21
124,SW,7.SW,34,1,1,clipped,Transplant,0,21
125,SW,7.SW,34,1,1,unclipped,Transplant,0,21
126,SW,7.SW,34,1,8,clipped,Normal,0,21
127,SW,7.SW,34,1,8,unclipped,Normal,0,21
128,SW,7.SW,34,1,1,unclipped,Normal,0,21
129,SW,7.SW,34,2,8,unclipped,Normal,0,21
130,SW,7.SW,34,2,8,clipped,Transplant,0,21
131,SW,7.SW,34,2,1,clipped,Transplant,0,21
132,SW,7.SW,34,2,1,unclipped,Transplant,0,21
133,SW,7.SW,34,2,8,unclipped,Transplant,0,21
134,SW,7.SW,34,2,1,clipped,Transplant,0,21
135,SW,7.SW,34,2,1,unclipped,Transplant,0,21
136,SW,7.SW,34,2,1,clipped,Normal,0,21
137,SW,7.SW,34,2,8,unclipped,Normal,0,21
138,SW,7.SW,34,2,8,unclipped,Normal,0,21
139,SW,7.SW,34,2,8,clipped,Normal,0,21
140,SW,7.SW,34,2,1,unclipped,Normal,0,21
141,SW,7.SW,34,2,8,unclipped,Transplant,35,21
142,SW,7.SW,34,2,8,clipped,Normal,9,21
143,SW,7.SW,34,1,8,clipped,Transplant,0,21
144,SW,7.SW,34,1,8,clipped,Normal,0,21
145,SW,7.SW,34,2,1,clipped,Transplant,0,21
146,SW,7.SW,35,2,8,clipped,Normal,0,22
147,SW,7.SW,35,2,8,clipped,Normal,0,22
148,SW,7.SW,35,2,1,unclipped,Normal,0,22
149,SW,7.SW,35,2,1,clipped,Normal,0,22
150,SW,7.SW,35,2,8,clipped,Transplant,0,22
151,SW,7.SW,35,2,1,unclipped,Transplant,0,22
152,SW,7.SW,35,2,8,clipped,Normal,0,22
153,SW,7.SW,35,2,1,clipped,Normal,0,22
154,SW,7.SW,35,1,1,clipped,Normal,0,22
155,SW,7.SW,35,2,1,unclipped,Transplant,0,22
156,SW,7.SW,35,2,1,clipped,Petri.Plate,0,22
157,SW,7.SW,35,1,8,clipped,Normal,0,22
158,SW,7.SW,35,1,8,clipped,Normal,0,22
159,SW,7.SW,35,1,1,clipped,Normal,0,22
160,SW,7.SW,35,1,1,unclipped,Petri.Plate,0,22
161,SW,7.SW,35,1,8,unclipped,Transplant,0,22
162,SW,7.SW,35,1,8,clipped,Normal,0,22
163,SW,7.SW,35,1,8,clipped,Normal,0,22
164,SW,7.SW,35,2,8,unclipped,Normal,0,22
165,SW,7.SW,35,2,8,clipped,Normal,0,22
166,SW,7.SW,35,2,1,unclipped,Petri.Plate,0,22
167,SW,7.SW,35,2,8,unclipped,Normal,0,22
168,SW,7.SW,35,1,8,clipped,Transplant,64,22
169,SW,7.SW,35,1,8,clipped,Normal,1,22
170,SW,7.SW,35,1,1,clipped,Transplant,4,22
171,SW,7.SW,35,2,1,unclipped,Normal,11,22
172,SW,7.SW,35,2,8,unclipped,Transplant,5,22
173,SW,7.SW,35,1,8,unclipped,Normal,1,22
174,SW,7.SW,35,1,1,unclipped,Normal,5,22
175,SW,7.SW,35,1,1,clipped,Transplant,0,22
176,SW,7.SW,35,1,1,unclipped,Transplant,0,22
177,SW,7.SW,36,2,1,clipped,Transplant,0,23
178,SW,7.SW,36,2,1,clipped,Normal,0,23
179,SW,7.SW,36,2,8,clipped,Normal,0,23
180,SW,7.SW,36,2,1,clipped,Transplant,0,23
181,SW,7.SW,36,2,8,unclipped,Petri.Plate,0,23
182,SW,7.SW,36,2,1,unclipped,Transplant,0,23
183,SW,7.SW,36,1,8,unclipped,Normal,0,23
184,SW,7.SW,36,1,8,unclipped,Normal,0,23
185,SW,7.SW,36,1,8,clipped,Transplant,0,23
186,SW,7.SW,36,2,1,unclipped,Normal,0,23
187,SW,7.SW,36,2,8,clipped,Normal,0,23
188,SW,7.SW,36,2,1,unclipped,Normal,0,23
189,SW,7.SW,36,2,8,unclipped,Normal,0,23
190,SW,7.SW,36,2,8,unclipped,Transplant,0,23
191,SW,7.SW,36,2,1,clipped,Transplant,0,23
192,SW,7.SW,36,2,8,unclipped,Transplant,0,23
193,SW,7.SW,36,2,8,unclipped,Transplant,0,23
194,SW,7.SW,36,2,8,unclipped,Normal,0,23
195,SW,7.SW,36,2,1,clipped,Normal,0,23
196,SW,7.SW,36,2,8,unclipped,Normal,4,23
197,SW,7.SW,36,1,1,clipped,Normal,8,23
198,SW,7.SW,36,2,1,unclipped,Transplant,0,23
199,SW,7.SW,36,1,1,unclipped,Transplant,0,23
200,SW,7.SW,36,1,8,clipped,Normal,0,23
201,SW,7.SW,36,2,8,clipped,Petri.Plate,0,23
202,SW,7.SW,36,2,1,clipped,Transplant,0,23
203,NL,5.NL,11,1,1,unclipped,Normal,3,3
204,SP,1.SP,14,2,1,unclipped,Petri.Plate,1,6
205,SP,8.SP,24,1,1,unclipped,Normal,1,16
206,SW,7.SW,36,2,1,unclipped,Transplant,3,23
207,SP,1.SP,15,2,8,clipped,Transplant,6,7
208,NL,3.NL,5,1,8,unclipped,Normal,7,1
209,NL,3.NL,4,2,1,unclipped,Petri.Plate,3,0
210,NL,3.NL,4,2,8,clipped,Normal,8,0
211,NL,5.NL,12,2,1,unclipped,Normal,4,4
212,NL,5.NL,12,1,1,clipped,Normal,2,4
213,SP,5.SP,16,2,1,clipped,Transplant,1,8
214,SW,7.SW,35,2,8,unclipped,Normal,2,22
215,SW,7.SW,36,1,1,unclipped,Normal,2,23
216,SW,1.SW,27,1,1,unclipped,Petri.Plate,4,18
217,SP,6.SP,21,2,1,unclipped,Transplant,2,13
218,SP,1.SP,15,1,1,unclipped,Normal,9,7
219,SP,5.SP,16,1,1,unclipped,Transplant,2,8
220,NL,3.NL,6,1,1,unclipped,Petri.Plate,1,2
221,SP,8.SP,22,1,8,unclipped,Petri.Plate,2,14
222,SP,8.SP,24,1,1,unclipped,Transplant,2,16
223,SP,6.SP,21,2,1,clipped,Normal,24,13
224,SP,6.SP,21,1,1,clipped,Normal,2,13
225,SP,8.SP,24,1,1,clipped,Transplant,1,16
226,SP,8.SP,24,2,1,unclipped,Transplant,13,16
227,SP,1.SP,13,2,1,clipped,Normal,2,5
228,SP,6.SP,20,2,1,unclipped,Normal,3,12
229,SP,5.SP,17,1,1,unclipped,Normal,5,9
230,NL,3.NL,4,2,1,unclipped,Normal,7,0
231,NL,5.NL,11,2,1,clipped,Normal,3,3
232,NL,5.NL,11,1,1,clipped,Transplant,1,3
233,SP,5.SP,16,1,1,clipped,Normal,1,8
234,SW,7.SW,35,1,1,clipped,Transplant,3,22
235,SP,8.SP,24,1,1,clipped,Petri.Plate,3,16
236,SP,1.SP,15,1,1,clipped,Normal,3,7
237,SP,6.SP,20,1,1,clipped,Normal,2,12
238,SW,7.SW,36,2,8,clipped,Transplant,10,23
239,SP,8.SP,24,2,1,unclipped,Normal,8,16
240,NL,5.NL,12,1,8,unclipped,Transplant,2,4
241,SP,1.SP,13,2,1,unclipped,Transplant,1,5
242,SP,6.SP,21,2,1,clipped,Normal,3,13
243,SP,8.SP,24,2,8,clipped,Petri.Plate,5,16
244,SW,1.SW,25,2,1,unclipped,Transplant,18,17
245,SW,7.SW,36,2,1,unclipped,Normal,9,23
246,SW,7.SW,36,1,1,clipped,Transplant,9,23
247,NL,3.NL,4,1,1,unclipped,Transplant,2,0
248,NL,5.NL,12,2,1,clipped,Normal,4,4
249,SP,8.SP,24,1,8,unclipped,Normal,1,16
250,SW,7.SW,34,1,8,unclipped,Normal,11,21
251,SP,6.SP,20,1,1,clipped,Transplant,9,12
252,SP,6.SP,20,2,8,unclipped,Transplant,3,12
253,NL,3.NL,4,1,1,unclipped,Normal,2,0
254,SP,5.SP,18,2,1,clipped,Normal,2,10
255,SP,6.SP,20,2,1,clipped,Normal,2,12
256,NL,3.NL,6,2,1,unclipped,Normal,2,2
257,SP,1.SP,13,1,1,clipped,Normal,1,5
258,SP,8.SP,24,2,1,clipped,Transplant,2,16
259,NL,3.NL,4,2,8,unclipped,Petri.Plate,10,0
260,NL,3.NL,4,1,1,clipped,Transplant,7,0
261,SP,1.SP,13,1,1,unclipped,Petri.Plate,3,5
262,SW,1.SW,25,2,1,clipped,Transplant,3,17
263,SW,7.SW,36,1,8,unclipped,Transplant,21,23
264,SP,5.SP,17,1,1,unclipped,Normal,1,9
265,NL,5.NL,11,2,8,clipped,Normal,5,3
266,SP,5.SP,18,2,1,unclipped,Normal,9,10
267,SP,1.SP,13,2,1,clipped,Transplant,11,5
268,SW,2.SW,28,2,1,unclipped,Normal,3,19
269,SP,6.SP,20,2,1,unclipped,Normal,2,12
270,SP,5.SP,16,2,8,unclipped,Petri.Plate,5,8
271,SP,5.SP,17,1,1,unclipped,Normal,15,9
272,NL,5.NL,11,2,1,unclipped,Normal,2,3
273,SP,1.SP,13,2,1,clipped,Normal,3,5
274,SP,1.SP,14,1,1,clipped,Normal,2,6
275,SP,5.SP,16,1,1,unclipped,Normal,4,8
276,SP,6.SP,20,1,1,clipped,Normal,45,12
277,SW,2.SW,28,1,1,unclipped,Normal,3,19
278,SW,7.SW,35,1,1,unclipped,Normal,5,22
279,SP,1.SP,14,2,1,clipped,Normal,13,6
280,SP,5.SP,18,1,1,clipped,Normal,5,10
281,SP,8.SP,24,2,1,clipped,Petri.Plate,5,16
282,SW,2.SW,28,1,8,clipped,Normal,33,19
283,NL,5.NL,11,1,8,clipped,Normal,14,3
284,SW,2.SW,28,2,1,unclipped,Normal,10,19
